Unnamed: 0,Modell (Diesel),l/100km
1,Audi A2 3L (198),36
2,Volkswagen Lupo 3L (343),37
3,Citroen AX (54),42
4,Smart Fortwo (2468),42
5,Citroen C1 (66),43
6,Peugeot 107 (18),43
7,Toyota Aygo (13),46
8,Citroen C4 Cactus (133),47
9,Seat Arosa (100),47
10,Peugeot 208 (328),47
11,Citroen Saxo (117),47
12,Renault Twingo (139),47
13,Fiat 500 (86),48
14,Citroen C3 (455),48
15,Audi A2 (711),48
16,Peugeot 106 (85),48
17,DS Automobiles DS 3 (12),48
18,Toyota iQ (50),48
19,Volkswagen Lupo (194),48
20,Nissan Micra (59),48
21,Citroen C3 Pluriel (29),48
22,Lancia Ypsilon (36),48
23,Hyundai i20 (127),48
24,Toyota Yaris (420),48
25,Fiat Panda (118),49
26,Ford Ka (26),49
27,Kia Picanto (29),49
28,Citroen C2 (162),49
29,Renault Thalia (19),49
30,Fiat Punto (221),49
31,Suzuki Ignis (14),49
32,Fiat Punto Evo (184),50
33,Mazda 2 (104),50
34,Suzuki Splash (13),50
35,Renault Clio (1208),50
36,Volkswagen Fox (50),50
37,Skoda Fabia (1993),50
38,Seat Ibiza ST (89),50
39,Nissan Note (112),50
40,Ford Fiesta (1233),50
41,Volkswagen Polo (3014),50
42,Honda HR-V (47),50
43,Citroen C-Elysée (27),50
44,Peugeot 2008 (184),50
45,Skoda Scala (38),50
46,Hyundai i10 (11),50
47,Nissan Pulsar (66),51
48,Peugeot 1007 (33),51
49,Citroen DS3 (109),51
50,Mini Mini Cooper D (258),51
