Unnamed: 0,Modell,kWh/100km
1,Peugeot iOn (28),132
2,Dacia Spring (117),141
3,Volkswagen Up! (243),141
4,Mitsubishi i-MiEV (24),143
5,Hyundai IONIQ (227),143
6,Citroen C-Zero (28),146
7,Citroen Saxo (11),146
8,Volkswagen Golf (224),148
9,Smart Fortwo (177),148
10,Renault Twingo (74),149
11,Skoda Citigo (61),150
12,Seat Mii (34),151
13,Smart Forfour (50),153
14,Hyundai Kona (277),159
15,Renault Scenic (11),163
16,Nissan Leaf (185),163
17,BMW i3 (305),164
18,Fiat 500 (173),165
19,Renault Megane (73),165
20,Opel Ampera (24),166
21,Renault ZOE (511),167
22,Kia Soul (68),168
23,Mini Mini Cooper SE (129),171
24,Kia Niro (174),172
25,Opel Corsa (131),173
26,Opel Mokka (50),175
27,MG ZS (37),175
28,Peugeot 208 (97),177
29,Renault Fluence (11),178
30,Hyundai Ioniq 6 (34),180
31,Citroen C4 (27),181
32,MG MG4 (106),182
33,Tesla Motors Model 3 (701),183
34,Volkswagen ID.7 (18),183
35,Toyota bZ4X (22),183
36,MG MG5 (25),184
37,Volkswagen ID.3 (210),185
38,Cupra Born (127),186
39,Mazda MX-30 (52),189
40,Peugeot 2008 (37),189
41,BYD Atto 3 (23),191
42,Tesla Motors Model Y (363),197
43,Volkswagen ID.5 (38),197
44,Honda Honda e (18),198
45,Volvo EX30 (15),198
46,Ora Funky Cat (14),199
47,BMW iX1 (44),199
48,Mercedes-Benz EQE (27),200
49,Volkswagen ID.4 (141),201
50,Hyundai Ioniq 5 (171),205
