country;year;total_population;total_number_cars;number_ev;percentage_ev;ev_per_100persons;number_charging_points;number_ev_per_charging_point
Belgium;2023;11742796;6047551;470303;7.776751283;4.005034235;52429;8.970283622
Czech Republic;2023;10827529;6512774;37297;0.572674562;0.344464559;4892;7.624080131
Denmark;2023;5932654;2827864;292196;10.33274585;4.925215595;25779;11.33465224
Germany;2023;84358845;49098685;2592722;5.280634298;3.073444166;130828;19.8177913
France;2023;68172977;39511536;1708826;4.324878689;2.506603166;127530;13.39940406
Luxembourg;2023;660809;453614;48056;10.59402928;7.272298047;2133;22.52977028
Netherlands;2023;17811291;8932846;773155;8.655192309;4.340813925;154219;5.013357628
Austria;2023;9104772;5185006;232140;4.477140431;2.549651985;22133;10.48841097
Poland;2023;36753736;21992801;113221;0.514809369;0.308053037;6649;17.02827493
Switzerland;2023;8815385;4861544;281264;5.78548708;3.1906037;14656;19.19104803
